,Country name,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Employers, female (% of female employment)",Law prohibits discr employ b gender,"Labor force, female (% of total labor force)",The law prohibits disc access credit b gender,The government administers of maternity leave benefits,There is paid parental leave,legislation addressing domestic violence
81,Myanmar,29.0358,1.3400000333786,0,41.6164699276514,0,1,0,0
82,Nepal,69.5002,0.389999985694885,0,55.4205310507949,0,0,0,1
83,Netherlands,4.052,2.09999990463257,1,45.9830613735497,1,1,0,1
84,New Zealand,20.7336,2.5,1,47.2493127645311,1,1,0,1
85,Nicaragua,88.5716,2.74000000953674,1,38.5770825168105,1,0,0,1
86,Niger,192.22,0.239999994635582,1,42.5659713370639,0,0,0,0
87,Nigeria,111.218,0.150000005960464,0,45.0405605240178,0,0,0,1
88,North Macedonia,16.6414,2.6800000667572,1,39.4305885980226,1,1,0,1
89,Norway,5.5002,0.829999983310699,1,47.107290207942,0,1,1,1
90,Pakistan,39.8832,0.100000001490116,0,21.9518671141353,0,0,0,1
91,Panama,83.8412,1.79999995231628,1,39.2275162685369,0,1,0,1
92,Paraguay,71.4732,2.52999997138977,1,39.5305725606281,1,1,0,1
93,Peru,59.0564,2.44000005722046,1,45.6342054512299,1,1,0,1
94,Philippines,55.404,1.89999997615814,1,39.7315909966501,1,1,0,1
95,Poland,12.056,2.58999991416931,1,44.8057731691732,1,1,1,1
96,Portugal,9.5936,2.82999992370605,1,48.8514867048655,1,1,1,1
97,Qatar,10.4604,0.330000013113022,0,13.5037384321686,0,0,0,0
98,Romania,36.351,0.660000026226044,1,43.0006756346061,1,1,1,1
99,Russia,22.9874,0.860000014305115,1,48.4398908987189,0,1,1,0
100,Rwanda,39.6864,0.0399999991059303,1,51.495760235182,0,0,0,1
101,Saudi Arabia,8.5584,0.200000002980232,0,16.2511069585473,0,0,0,1
102,Senegal,77.0754,0.430000007152557,0,40.2068790293732,0,1,0,1
103,Serbia,16.3292,2.33999991416931,1,43.7336079416838,1,1,1,1
104,Sierra Leone,118.3336,2.78999996185303,0,49.3206623748105,0,0,0,1
105,Singapore,3.6816,3.46000003814697,0,41.6493810193163,0,0,1,1
106,Slovakia,24.396,1.86000001430511,1,45.2558796681392,1,1,1,1
107,Slovenia,4.1576,2.03999996185303,1,45.8673712658846,1,1,1,1
108,Somalia,104.2014,0.469999998807907,1,22.8720871633345,0,0,0,0
109,South Africa,69.5352,2.25,1,44.842045634207,1,1,0,1
110,South Sudan,68.4536,0.449999988079071,0,49.0460593841519,0,0,0,0
111,Spain,8.2238,3.28999996185303,1,46.1615174333212,1,1,0,1
112,Sri Lanka,21.2944,1.12000000476837,0,34.2699624146216,0,0,0,1
113,Sweden,5.2108,1.70000004768372,1,47.7030077869698,1,1,1,1
114,Switzerland,3.059,3.32999992370605,1,46.4993243222188,0,1,0,1
115,Syria,40.4704,0.430000007152557,1,16.1627938612501,0,0,0,0
116,Tajikistan,54.4168,0,1,37.3043819751001,1,1,1,1
117,Tanzania,120.295,1.5900000333786,1,48.1918980810795,0,1,0,0
118,Thailand,47.57,1.51999998092651,1,45.6513657144165,0,0,0,1
119,Togo,90.1494,1.12000000476837,1,47.7266990132771,0,0,0,0
120,Tunisia,7.7406,2.88000011444092,1,27.9897641706593,0,1,0,0
121,Turkey,28.4326,1.20000004768372,1,31.7284288115581,0,1,0,1
122,Uganda,124.0568,3.04999995231628,1,49.005018025427,0,0,0,1
123,Ukraine,25.4078,0.720000028610229,1,47.3704994741586,1,1,0,1
124,United Arab Emirates,10.6356,1.02999997138977,0,16.0908023424065,0,0,0,0
125,United Kingdom,15.4136,1.3400000333786,1,46.4571476271491,1,0,1,1
126,United States,23.0908,1.66999995708466,1,45.8652664437359,1,0,0,1
127,Uruguay,59.4974,2.71000003814697,1,45.0692277395704,0,1,0,1
128,Uzbekistan,23.79,0,1,40.5304665736539,0,0,1,0
129,Venezuela,86.3302,1.12000000476837,1,39.756551080257,0,1,0,1
130,Vietnam,32.9818,1.87000000476837,1,47.7100726783069,1,1,0,1
131,Yemen,63.28,1.62000000476837,1,8.06938770984221,0,0,0,0
132,Zambia,126.7456,0.209999993443489,1,47.9428657994598,0,0,0,1
133,Zimbabwe,95.2182,0.310000002384186,1,50.9763838739591,1,0,0,1
