,country,CPI 2015 Score,lu,lpc,lsc,lhc,yr_sch,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Employers, female (% of female employment)",Law prohibits discr employ b gender,"Labor force, female (% of total labor force)",The law prohibits disc access credit b gender,The government administers of maternity leave benefits,There is paid parental leave,legislation addressing domestic violence,Score(%)_hs,Score(%)_d,Score(%)_v,Value,First Tooltip,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
21,Croatia,51,0.52,0.08,59.43,12.72,11.984,9.6774,3.24000000953674,1,46.5000198683391,1,1,1,1,36,43,17,51.43,17.8,2015,5.205438137054443,10.104363441467285,0.7683634161949158,68.4000015258789,0.6935230493545532,-0.0964784175157547,0.8485455513000488
22,Cyprus,61,0.68,9.33,32.26,27.09,11.948,4.8136,0.930000007152557,1,46.4256281091028,1,1,0,1,42,58,25,41.43,4.9,2015,5.43916130065918,10.445100784301758,0.7695561051368713,73.0999984741211,0.6280348300933838,0.11379989981651306,0.8927951455116272
23,Czech Republic,56,0.2,0.85,67.25,9.69,12.924,11.484,1.86000001430511,1,44.208165745374,1,1,1,1,20,27,13,42.86,13.7,2015,6.608017444610596,10.495902061462402,0.9113625884056091,68.80000305175781,0.8084841966629028,-0.14585736393928528,0.886467456817627
24,Denmark,91,1.45,0.13,35.86,25.08,12.866,4.2482,1.78999996185303,1,46.8721093823564,1,1,1,1,42,53,21,51.43,11.9,2015,7.514424800872803,10.87840461730957,0.9597012996673584,71.5,0.9414364099502563,0.22208371758460999,0.19101639091968536
25,Ecuador,32,1.91,31.48,35.52,9.92,9.252,80.6542,1.86000001430511,1,39.5025677277849,0,0,0,1,20,36,10,45.71,9.6,2015,5.964075088500977,9.383989334106445,0.8558892011642456,67.5999984741211,0.8008704781532288,-0.11392004787921906,0.6658275127410889
26,Egypt,36,31.29,4.07,38.73,8.94,7.824,54.595,1.94000005722046,1,23.4014242119828,0,0,0,0,23,47,7,50.0,3.8,2015,4.762538433074951,9.265817642211914,0.7297442555427551,60.79999923706055,0.6592614650726318,-0.0885595828294754,0.6844980716705322
27,El Salvador,39,12.8,16.71,25.13,5.72,7.747,71.0814,3.19000005722046,1,41.8919344734582,1,1,0,1,23,43,19,51.43,14.0,2015,6.018496036529541,9.004916191101074,0.7907553911209106,65.19999694824219,0.7333559393882751,-0.15617093443870544,0.8045442700386047
28,Estonia,70,0.54,2.35,47.77,21.76,12.411,11.0712,1.89999997615814,1,48.711902839672,1,1,1,0,26,39,19,60.0,15.8,2015,5.628908634185791,10.348464965820312,0.9179296493530273,68.0,0.8146923780441284,-0.1636808067560196,0.5687344670295715
29,Finland,90,0.42,16.63,32.23,13.78,11.3,6.457,2.13000011444092,1,48.2888386747575,1,0,1,1,43,60,30,51.43,14.4,2015,7.447925567626953,10.716032981872559,0.9478005766868591,71.5999984741211,0.9298619031906128,0.1112648993730545,0.22336965799331665
30,France,70,1.44,19.63,20.28,14.18,10.349,5.4954,2.20000004768372,1,47.7168027624922,1,1,1,1,32,39,30,45.71,18.0,2015,6.3576250076293945,10.681742668151855,0.8957194089889526,73.19999694824219,0.8170362114906311,-0.139271080493927,0.6406020522117615
