,country,CPI 2015 Score,lu,lpc,lsc,lhc,yr_sch,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Employers, female (% of female employment)",Law prohibits discr employ b gender,"Labor force, female (% of total labor force)",The law prohibits disc access credit b gender,The government administers of maternity leave benefits,There is paid parental leave,legislation addressing domestic violence,Score(%)_hs,Score(%)_d,Score(%)_v,Value,First Tooltip,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
89,Slovenia,60,0.19,1.08,55.04,15.52,12.15,4.1576,2.03999996185303,1,45.8673712658846,1,1,1,1,42,50,35,40.0,21.0,2015,5.740642070770264,10.432632446289062,0.9011637568473816,70.19999694824219,0.8960072994232178,0.007825181819498539,0.8921979069709778
90,South Africa,44,3.18,5.32,54.44,4.71,10.177,69.5352,2.25,1,44.842045634207,1,1,0,1,40,73,28,45.71,11.8,2015,4.887325763702393,9.460323333740234,0.8980962634086609,55.29999923706055,0.8624494075775146,-0.12704870104789734,0.8526947498321533
91,Spain,58,2.84,10.93,19.83,21.05,10.931,8.2238,3.28999996185303,1,46.1615174333212,1,1,0,1,36,54,20,52.86,8.1,2015,6.3806633949279785,10.530786514282227,0.956471860408783,73.5,0.732000470161438,-0.0723392590880394,0.8216649293899536
92,Sri Lanka,37,2.05,7.79,55.46,2.82,11.127,21.2944,1.12000000476837,0,34.2699624146216,0,0,0,1,56,60,48,42.86,14.8,2015,4.611606597900391,9.383496284484863,0.8625000715255737,66.5999984741211,0.9020747542381287,0.3191469609737396,0.8594709634780884
93,Sweden,89,2.37,2.64,40.83,22.36,12.046,5.2108,1.70000004768372,1,47.7030077869698,1,1,1,1,44,55,17,47.14,15.7,2015,7.288922309875488,10.853300094604492,0.9294599890708923,72.30000305175781,0.9350720643997192,0.21117615699768066,0.2319641411304474
94,Switzerland,86,1.75,12.98,35.39,22.82,12.216,3.059,3.32999992370605,1,46.4993243222188,0,1,0,1,42,51,27,35.71,17.1,2015,7.572136878967285,11.099858283996582,0.9383337497711182,73.19999694824219,0.9278024435043335,0.10892389714717865,0.20953351259231567
95,Tajikistan,26,0.6,6.48,53.19,10.32,10.759,54.4168,0.0,1,37.3043819751001,1,1,1,1,33,41,37,34.29,2.5,2015,5.124210834503174,7.945079326629639,0.8439325094223022,63.20000076293945,0.8465421199798584,0.022057460620999336,0.7416896224021912
96,Thailand,38,4.27,17.95,17.83,14.33,8.756,47.57,1.51999998092651,1,45.6513657144165,0,0,0,1,48,44,14,42.86,14.6,2015,6.201762676239014,9.699014663696289,0.8663245439529419,66.5999984741211,0.8849165439605713,0.3159483075141907,0.9136511087417603
97,Togo,32,29.02,21.9,14.4,2.22,6.834,90.1494,1.12000000476837,1,47.7266990132771,0,0,0,0,19,43,9,38.57,9.4,2015,3.7683019638061523,7.277405738830566,0.4785934090614319,53.5,0.7715772390365601,-0.06868194788694382,0.73326176404953
98,Tunisia,38,12.63,17.46,16.76,9.24,8.439,7.7406,2.88000011444092,1,27.9897641706593,0,1,0,0,17,41,6,42.86,3.4,2015,5.1316118240356445,9.261008262634277,0.609470009803772,66.0,0.7113733887672424,-0.22603139281272888,0.8148249983787537
99,Uganda,25,13.94,13.81,2.62,1.12,5.761,124.0568,3.04999995231628,1,49.005018025427,0,0,0,1,37,67,24,48.57,9.9,2015,4.237686634063721,7.626735210418701,0.7466331124305725,54.5,0.757835328578949,0.1350565254688263,0.8727403879165649
100,Ukraine,27,0.24,6.04,39.18,27.38,11.568,25.4078,0.720000028610229,1,47.3704994741586,1,1,0,1,29,35,13,38.57,23.1,2015,3.964542865753174,9.326973915100098,0.909439742565155,63.70000076293945,0.43059203028678894,-0.03340182453393936,0.9524727463722229
101,United Arab Emirates,70,4.79,8.61,21.68,41.65,11.736,10.6356,1.02999997138977,0,16.0908023424065,0,0,0,0,50,69,22,45.71,2.8,2015,6.568397521972656,11.085502624511719,0.8241366744041443,66.5,0.9150362014770508,0.20111078023910522,0.7445489010298807
102,United Kingdom,81,0.12,7.17,36.24,24.02,12.858,15.4136,1.3400000333786,1,46.4571476271491,1,0,1,1,57,63,32,45.71,8.7,2015,6.515445232391357,10.712478637695312,0.9359857439994812,71.69999694824219,0.8329260945320129,0.3001050055027008,0.45613372325897217
103,Uruguay,74,0.32,35.51,18.62,9.38,8.943,59.4974,2.71000003814697,1,45.0692277395704,0,1,0,1,31,50,18,50.0,19.4,2015,6.628080368041992,9.932482719421387,0.8914934992790222,68.69999694824219,0.9168796539306641,-0.032266486436128616,0.6734756827354431
104,Venezuela,17,2.11,16.3,28.55,17.92,10.209,86.3302,1.12000000476837,1,39.756551080257,0,1,0,1,20,39,11,41.43,3.8,2015,5.568800449371338,9.001046180725098,0.9110868573188782,65.9000015258789,0.5121593475341797,-0.11693695187568665,0.813096821308136
105,Vietnam,31,13.82,10.02,23.85,4.09,7.771,32.9818,1.87000000476837,1,47.7100726783069,1,1,0,1,31,53,14,40.0,7.2,2015,5.076315402984619,8.770013809204102,0.8486766815185547,67.30000305175781,0.7466229984157259,0.08550644665956497,0.7445489010298807
106,Yemen,18,46.03,16.86,10.79,3.58,4.74,63.28,1.62000000476837,1,8.06938770984221,0,0,0,0,15,37,3,37.14,8.6,2015,2.9826738834381104,7.857512474060059,0.6686834692955017,54.29999923706055,0.6099807620048523,-0.13938328623771667,0.8290975689888
107,Zambia,38,9.93,21.57,17.09,1.12,7.988,126.7456,0.209999993443489,1,47.9428657994598,0,0,0,1,39,69,29,38.57,6.1,2015,4.843164443969727,8.144257545471191,0.6914834976196289,53.79999923706055,0.7586536407470703,-0.03881865739822388,0.8710195422172546
108,Zimbabwe,21,3.52,26.4,1.94,3.3,8.125,95.2182,0.310000002384186,1,50.9763838739591,1,0,0,1,29,55,21,41.43,10.6,2015,3.7031912803649902,7.992339134216309,0.7358003258705139,53.79999923706055,0.6671932935714722,-0.12317058444023132,0.8104573488235474
